customer_id,subscription_id,transaction_date,transaction_amount,subscription_status,country,product
CUST_000465,SUB_CUST_000465_202204,2023-01-01,28.33,active,United States,Starter
CUST_000690,SUB_CUST_000690_202310,2024-04-01,31.99,active,United States,Starter
CUST_001697,SUB_CUST_001697_202209,2023-03-01,159.69,active,Australia,Business
CUST_001261,SUB_CUST_001261_202209,2023-03-01,31.1,active,United States,Starter
CUST_000360,SUB_CUST_000360_202212,2023-06-01,140.39,active,Canada,Business
CUST_000305,SUB_CUST_000305_202306,2023-06-19,132.84,active,United States,Business
CUST_001132,SUB_CUST_001132_202407,2024-07-01,30.09,active,Australia,Starter
CUST_000280,SUB_CUST_000280_202304,2023-10-01,154.44,active,Other,Business
CUST_000097,SUB_CUST_000097_202407,2024-08-01,157.47,active,Canada,Business
CUST_001459,SUB_CUST_001459_202208,2023-03-01,145.15,active,Germany,Business
CUST_001277,SUB_CUST_001277_202304,2023-10-01,91.79,active,United States,Professional
CUST_001428,SUB_CUST_001428_202212,2023-03-01,25.98,active,United States,Starter
CUST_001829,SUB_CUST_001829_202305,2023-05-15,30.01,active,Germany,Starter
CUST_001605,SUB_CUST_001605_202306,2024-11-01,26.2,active,United States,Starter
CUST_001565,SUB_CUST_001565_202202,2023-02-01,81.57,active,United Kingdom,Professional
CUST_001228,SUB_CUST_001228_202301,2023-07-01,86.51,active,United Kingdom,Professional
CUST_000529,SUB_CUST_000529_202302,2023-11-01,31.29,active,Germany,Starter
CUST_001843,SUB_CUST_001843_202209,2023-03-01,26.21,active,United States,Starter
CUST_000732,SUB_CUST_000732_202206,2022-06-25,26.35,active,United States,Starter
CUST_000251,SUB_CUST_000251_202403,2024-06-01,159.68,active,United States,Business
CUST_001580,SUB_CUST_001580_202310,2023-11-01,26.0,cancelled,United States,Starter
CUST_000879,SUB_CUST_000879_202302,2024-08-01,23.54,active,United Kingdom,Starter
CUST_001725,SUB_CUST_001725_202401,2024-03-01,29.78,active,Australia,Starter
CUST_000008,SUB_CUST_000008_202209,2024-09-01,30.93,active,United Kingdom,Starter
CUST_000169,SUB_CUST_000169_202204,2023-11-01,32.22,active,Canada,Starter
CUST_001941,SUB_CUST_001941_202204,2022-09-01,136.96,active,United States,Business
CUST_000969,SUB_CUST_000969_202407,2024-07-01,88.71,active,United States,Professional
CUST_000506,SUB_CUST_000506_202207,2022-07-17,31.43,active,United States,Starter
CUST_000173,SUB_CUST_000173_202212,2023-05-01,69.97,active,United States,Professional
CUST_001739,SUB_CUST_001739_202302,2023-03-01,31.65,active,United States,Starter
CUST_000869,SUB_CUST_000869_202405,2024-10-01,389.78,active,United States,Enterprise
CUST_000004,SUB_CUST_000004_202310,2024-12-01,92.79,active,United States,Professional
CUST_000531,SUB_CUST_000531_202312,2023-12-18,71.99,cancelled,United States,Professional
CUST_000354,SUB_CUST_000354_202209,2023-12-01,75.58,active,United States,Professional
CUST_000780,SUB_CUST_000780_202403,2024-05-01,80.89,active,United States,Professional
CUST_000304,SUB_CUST_000304_202306,2023-06-27,81.31,active,United Kingdom,Professional
CUST_001770,SUB_CUST_001770_202406,2024-11-01,24.66,active,Canada,Starter
CUST_001809,SUB_CUST_001809_202303,2023-03-23,24.61,active,Germany,Starter
CUST_000634,SUB_CUST_000634_202310,2024-06-01,131.88,active,United States,Business
CUST_000055,SUB_CUST_000055_202406,2024-08-01,74.89,active,Australia,Professional
CUST_000108,SUB_CUST_000108_202403,2024-10-01,155.1,active,Australia,Business
CUST_000710,SUB_CUST_000710_202405,2024-10-01,92.74,active,United Kingdom,Professional
CUST_001343,SUB_CUST_001343_202209,2024-03-01,418.55,active,United States,Enterprise
CUST_001585,SUB_CUST_001585_202402,2024-02-01,415.78,active,United States,Enterprise
CUST_000229,SUB_CUST_000229_202302,2024-12-01,454.39,active,Germany,Enterprise
CUST_000041,SUB_CUST_000041_202305,2024-02-01,24.39,cancelled,Other,Starter
CUST_001539,SUB_CUST_001539_202210,2022-12-01,83.6,active,United States,Professional
CUST_000832,SUB_CUST_000832_202211,2022-11-01,146.09,active,United States,Business
CUST_001119,SUB_CUST_001119_202303,2023-06-01,24.72,active,United Kingdom,Starter
CUST_001978,SUB_CUST_001978_202311,2024-01-01,157.17,cancelled,United States,Business
CUST_001511,SUB_CUST_001511_202307,2023-08-01,80.84,active,Other,Professional
CUST_000907,SUB_CUST_000907_202309,2023-10-01,28.37,cancelled,Canada,Starter
CUST_000174,SUB_CUST_000174_202410,2024-11-01,88.52,active,United Kingdom,Professional
CUST_001843,SUB_CUST_001843_202209,2024-02-01,25.83,active,United States,Starter
CUST_001093,SUB_CUST_001093_202205,2024-01-01,32.45,active,United States,Starter
CUST_001801,SUB_CUST_001801_202311,2024-09-01,25.63,active,United States,Starter
CUST_001203,SUB_CUST_001203_202207,2023-11-01,132.21,active,Germany,Business
CUST_000678,SUB_CUST_000678_202303,2024-10-01,30.54,active,United Kingdom,Starter
CUST_000479,SUB_CUST_000479_202308,2023-09-01,28.93,active,United Kingdom,Starter
CUST_000555,SUB_CUST_000555_202305,2024-01-01,132.29,active,Germany,Business
CUST_000708,SUB_CUST_000708_202212,2024-06-01,133.58,active,United States,Business
CUST_001219,SUB_CUST_001219_202309,2024-01-01,24.34,active,United Kingdom,Starter
CUST_000603,SUB_CUST_000603_202310,2023-10-01,31.76,active,United States,Starter
CUST_000190,SUB_CUST_000190_202302,2024-01-01,26.22,cancelled,United States,Starter
CUST_001993,SUB_CUST_001993_202402,2024-09-01,402.85,active,United States,Enterprise
CUST_000126,SUB_CUST_000126_202209,2024-12-01,383.75,active,United States,Enterprise
CUST_001585,SUB_CUST_001585_202402,2024-10-01,419.52,active,United States,Enterprise
CUST_001080,SUB_CUST_001080_202208,2022-12-01,24.24,active,United Kingdom,Starter
CUST_000445,SUB_CUST_000445_202209,2023-10-01,158.25,active,Canada,Business
CUST_000790,SUB_CUST_000790_202207,2022-07-20,31.74,active,United States,Starter
CUST_001142,SUB_CUST_001142_202407,2024-10-01,148.4,active,United States,Business
CUST_001064,SUB_CUST_001064_202402,2024-03-01,24.18,active,United States,Starter
CUST_001983,SUB_CUST_001983_202407,2024-08-01,67.46,active,United States,Professional
CUST_001122,SUB_CUST_001122_202306,2024-09-01,30.35,active,United Kingdom,Starter
CUST_000463,SUB_CUST_000463_202403,2024-10-01,33.01,active,Canada,Starter
CUST_000132,SUB_CUST_000132_202403,2024-07-01,138.05,active,United Kingdom,Business
CUST_000675,SUB_CUST_000675_202404,2024-09-01,27.15,active,Australia,Starter
CUST_000658,SUB_CUST_000658_202401,2024-08-01,81.58,active,Canada,Professional
CUST_000998,SUB_CUST_000998_202409,2024-09-01,84.38,active,United Kingdom,Professional
CUST_001074,SUB_CUST_001074_202212,2024-06-01,27.38,active,United Kingdom,Starter
CUST_000668,SUB_CUST_000668_202407,2024-08-01,32.3,cancelled,United States,Starter
CUST_000718,SUB_CUST_000718_202302,2023-09-01,28.9,active,Germany,Starter
CUST_000791,SUB_CUST_000791_202209,2023-06-01,31.38,active,United States,Starter
CUST_001649,SUB_CUST_001649_202212,2023-02-01,164.09,active,United States,Business
CUST_001053,SUB_CUST_001053_202405,2024-05-13,26.2,active,Canada,Starter
CUST_001616,SUB_CUST_001616_202209,2023-10-01,32.73,active,Canada,Starter
CUST_001198,SUB_CUST_001198_202307,2023-10-01,27.65,active,Canada,Starter
CUST_001599,SUB_CUST_001599_202407,2024-09-01,78.0,active,United States,Professional
CUST_001773,SUB_CUST_001773_202305,2023-05-01,74.14,active,United Kingdom,Professional
CUST_001295,SUB_CUST_001295_202207,2022-08-01,89.19,cancelled,United States,Professional
CUST_001270,SUB_CUST_001270_202211,2023-01-01,32.73,active,United Kingdom,Starter
CUST_000612,SUB_CUST_000612_202208,2024-03-01,26.81,active,Other,Starter
CUST_000633,SUB_CUST_000633_202207,2023-01-01,26.98,active,Canada,Starter
CUST_000939,SUB_CUST_000939_202311,2024-04-01,83.15,active,United States,Professional
CUST_001455,SUB_CUST_001455_202207,2024-04-01,31.77,active,Canada,Starter
CUST_001743,SUB_CUST_001743_202304,2024-09-01,28.83,active,United Kingdom,Starter
CUST_000150,SUB_CUST_000150_202304,2024-10-01,84.92,active,United States,Professional
